id,label
0,5
1,4
2,5
3,1
4,5
5,4
6,5
7,5
8,5
9,5
10,4
11,3
12,5
13,5
14,5
15,5
16,5
17,5
18,4
19,4
20,5
21,4
22,5
23,5
24,5
25,4
26,5
27,3
28,5
29,3
30,2
31,2
32,4
33,3
34,5
35,4
36,5
37,5
38,4
39,5
40,5
41,5
42,4
43,4
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,4
53,5
54,3
55,1
56,4
57,5
58,5
59,5
60,5
61,2
62,1
63,5
64,5
65,1
66,5
67,4
68,5
69,5
70,4
71,5
72,5
73,4
74,4
75,5
76,5
77,5
78,1
79,2
80,2
81,3
82,4
83,4
84,5
85,5
86,4
87,5
88,5
89,5
90,4
91,5
92,4
93,5
94,4
95,4
96,4
97,4
98,4
99,5
100,5
101,5
102,5
103,4
104,5
105,4
106,5
107,5
108,5
109,5
110,5
111,4
112,5
113,5
114,4
115,3
116,5
117,2
118,5
119,4
120,2
121,5
122,4
123,5
124,5
125,5
126,5
127,5
128,4
129,3
130,3
131,4
132,4
133,1
134,3
135,3
136,4
137,4
138,5
139,4
140,4
141,3
142,5
143,2
144,5
145,5
146,4
147,3
148,5
149,3
150,5
151,4
152,5
153,5
154,4
155,4
156,4
157,5
158,5
159,5
160,5
161,5
162,4
163,5
164,2
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,4
173,4
174,3
175,4
176,5
177,5
178,5
179,5
180,4
181,4
182,4
183,2
184,3
185,2
186,4
187,2
188,5
189,5
190,5
191,5
192,4
193,3
194,4
195,5
196,5
197,5
198,4
199,4
200,5
201,1
202,4
203,4
204,5
205,5
206,5
207,4
208,1
209,5
210,5
211,5
212,4
213,5
214,5
215,4
216,5
217,4
218,5
219,5
220,4
221,4
222,4
223,1
224,5
225,4
226,4
227,4
228,3
229,4
230,4
231,4
232,4
233,5
234,4
235,5
236,4
237,5
238,4
239,4
240,2
241,5
242,4
243,5
244,4
245,5
246,5
247,5
248,3
249,5
250,5
251,5
252,1
253,5
254,3
255,4
256,4
257,4
258,3
259,5
260,1
261,2
262,2
263,3
264,5
265,5
266,2
267,2
268,4
269,4
270,2
271,3
272,3
273,4
274,5
275,5
276,5
277,4
278,5
279,3
280,5
281,1
282,4
283,5
284,4
285,4
286,1
287,4
288,3
289,5
290,5
291,4
292,3
293,4
294,4
295,4
296,4
297,5
298,5
299,5
300,5
301,5
302,4
303,5
304,5
305,4
306,2
307,4
308,4
309,4
310,5
311,4
312,4
313,5
314,2
315,4
316,2
317,3
318,2
319,3
320,5
321,2
322,4
323,3
324,5
325,5
326,3
327,3
328,4
329,1
330,5
331,4
332,5
333,5
334,5
335,3
336,4
337,4
338,3
339,4
340,4
341,4
342,5
343,3
344,5
345,5
346,4
347,4
348,3
349,5
350,5
351,5
352,4
353,5
354,4
355,1
356,5
357,5
358,1
359,4
360,5
361,5
362,4
363,1
364,3
365,3
366,1
367,4
368,4
369,5
370,5
371,5
372,5
373,4
374,5
375,5
376,5
377,5
378,5
379,2
380,5
381,4
382,5
383,5
384,5
385,4
386,5
387,5
388,5
389,5
390,5
391,5
392,2
393,4
394,2
395,4
396,3
397,4
398,5
399,4
